file,k,status,tau_mean,tau_var,eta_mean,eta_var
medium_20vars_90clauses_009.cnf,7,success,3.780952380952381,0.6663038548752835,3.0031018518518517,2.1712243952699395
medium_20vars_90clauses_008.cnf,7,success,3.9047619047619047,0.6766439909297051,3.497103174603175,1.6969292186318972
medium_30vars_135clauses_005.cnf,7,success,7.0,0.0,0.19047619047619044,0.004535147392290249
medium_30vars_135clauses_001.cnf,7,success,4.8,1.9885714285714289,2.5198478835978837,3.1953895194765884
medium_30vars_135clauses_003.cnf,7,success,4.266666666666667,0.8431746031746032,4.185667989417989,3.4036101798924303
medium_30vars_135clauses_002.cnf,7,success,4.933333333333334,1.9288888888888889,3.314086829176115,4.491602877471312
medium_30vars_135clauses_004.cnf,7,success,4.780952380952381,0.8186848072562358,3.967731481481482,1.9571593599965704
medium_30vars_135clauses_000.cnf,7,success,4.533333333333333,1.3155555555555558,3.7248710317460314,6.886536579487119
medium_30vars_135clauses_007.cnf,7,success,4.371428571428571,0.9191836734693879,4.206841931216931,2.8815167351553534
medium_30vars_135clauses_006.cnf,7,success,4.9904761904761905,0.7903854875283447,3.7627182539682535,1.6254129814657343
medium_20vars_90clauses_002.cnf,7,success,4.0,1.2571428571428571,3.2203968253968256,3.2302440224237845
medium_20vars_90clauses_003.cnf,7,success,4.666666666666667,2.3555555555555556,3.1057180650037792,2.980456006356519
medium_20vars_90clauses_001.cnf,7,success,4.771428571428571,1.6620408163265308,2.7048124527588815,1.4797702627600209
medium_20vars_90clauses_000.cnf,7,success,3.8857142857142857,0.5012244897959184,2.949143518518518,1.9123085146758037
medium_20vars_90clauses_004.cnf,7,success,3.9714285714285715,0.8848979591836734,3.2748115079365085,1.9412962607670383
medium_20vars_90clauses_005.cnf,7,success,4.133333333333334,1.067936507936508,2.8105191798941798,1.9371053411224315
medium_20vars_90clauses_007.cnf,7,success,4.3238095238095235,1.1522902494331064,2.9548478835978838,2.885560162045785
medium_20vars_90clauses_006.cnf,7,success,5.733333333333333,1.166984126984127,1.7889621126228266,0.2972295276110859
medium_30vars_135clauses_009.cnf,7,success,4.6571428571428575,1.8824489795918367,3.003909674981103,5.703223466556144
medium_30vars_135clauses_008.cnf,7,success,7.0,0.0,0.6666666666666666,0.00997732426303855
large_75vars_375clauses_014.cnf,7,success,7.0,0.0,0.0,0.0
large_75vars_375clauses_000.cnf,7,success,7.0,0.0,0.8571428571428568,1.1093356479670479e-31
large_75vars_375clauses_017.cnf,7,success,7.0,0.0,0.19047619047619044,0.004535147392290249
large_75vars_375clauses_003.cnf,7,success,7.0,0.0,0.8571428571428568,1.1093356479670479e-31
large_75vars_375clauses_016.cnf,7,success,7.0,0.0,0.5714285714285713,1.232595164407831e-32
large_75vars_375clauses_001.cnf,7,success,7.0,0.0,1.7142857142857135,4.437342591868191e-31
large_75vars_375clauses_002.cnf,7,success,5.733333333333333,1.166984126984127,3.795791288737717,22.386884689972703
large_75vars_375clauses_015.cnf,7,success,5.733333333333333,1.166984126984127,6.899113756613756,12.879730021181018
large_75vars_375clauses_012.cnf,7,success,7.0,0.0,1.4285714285714286,0.0
large_75vars_375clauses_006.cnf,7,success,6.666666666666667,0.31746031746031744,5.710992063492064,4.856015957824929
large_50vars_250clauses_011.cnf,7,success,4.933333333333334,1.9288888888888893,4.467180177626607,18.57880446739205
large_75vars_375clauses_010.cnf,7,success,7.0,0.0,0.0,0.0
large_75vars_375clauses_013.cnf,7,success,6.4,0.64,4.928261054421768,7.264938097662416
large_75vars_375clauses_005.cnf,7,success,7.0,0.0,0.8571428571428568,1.1093356479670479e-31
large_75vars_375clauses_007.cnf,7,success,6.476190476190476,0.43990929705215415,5.82390873015873,6.103329530704477
large_50vars_250clauses_005.cnf,7,success,4.857142857142857,0.8653061224489795,4.52099537037037,7.886085704564104
large_75vars_375clauses_011.cnf,7,success,7.0,0.0,1.0,0.0
large_75vars_375clauses_004.cnf,7,success,7.0,0.0,0.5714285714285713,1.232595164407831e-32
large_100vars_500clauses_020.cnf,7,success,7.0,0.0,1.8571428571428572,0.0
large_100vars_500clauses_008.cnf,7,success,7.0,0.0,1.4285714285714286,0.0
large_50vars_250clauses_006.cnf,7,success,7.0,0.0,0.19047619047619044,0.004535147392290249
large_50vars_250clauses_004.cnf,7,success,6.0,1.2,5.210711923658352,4.694977810166109
large_50vars_250clauses_010.cnf,7,success,6.4,0.6400000000000001,4.532977135298563,2.1714841193346723
large_50vars_250clauses_012.cnf,7,success,6.0,1.2,3.523963529856387,5.573253366394797
