mu,seed,gamma,v_orbit,tau_var,eta_var
0.0,5,3.3306690738754696e-16,7.521673900462963,0.5163888888888888,7.005285011574074
0.0,3,4.440892098500626e-16,4.708493441358025,0.41,4.2984934413580245
0.0,2,-7.771561172376096e-16,13.177029320987653,0.24000000000000005,12.937029320987653
0.0,0,-8.494356980893717e-41,6.701533564814815,0.34972222222222227,6.351811342592593
0.0,4,5.551115123125783e-16,9.178819444444445,0.33638888888888885,8.842430555555556
0.0,1,1.1102230246251565e-16,5.60254118441358,0.8941666666666668,4.708374517746913
0.0,6,6.661338147750939e-16,5.141291956018518,0.3275,4.813791956018519
0.0,9,6.661338147750939e-16,5.504807098765432,0.44972222222222225,5.0550848765432095
0.0,7,-1.1102230246251565e-16,8.404578993055555,0.29000000000000004,8.114578993055556
0.0,8,3.3306690738754696e-16,8.923849826388889,0.5599999999999999,8.363849826388888
0.0,13,4.440892098500626e-16,5.594627700617284,0.30305555555555563,5.291572145061728
0.0,12,3.3306690738754696e-16,5.5954817708333335,0.33638888888888885,5.2590928819444445
0.0,11,-5.895617401462407e-72,11.987098765432098,0.19555555555555557,11.791543209876542
0.0,10,4.440892098500626e-16,8.360993441358024,0.34305555555555556,8.01793788580247
0.0,14,3.3306690738754696e-16,4.951062885802469,0.5163888888888889,4.43467399691358
0.0,16,-1.1102230246251565e-16,7.601260628858024,1.0608333333333333,6.540427295524691
0.0,15,2.220446049250313e-16,6.9075000000000015,0.3475000000000001,6.560000000000001
0.0,18,8.881784197001252e-16,11.428672839506172,0.24888888888888897,11.179783950617283
0.0,19,6.661338147750939e-16,7.4977387152777775,0.4474999999999999,7.050238715277778
0.0,17,-6.246622648364415e-45,8.735486111111111,0.32749999999999996,8.40798611111111
0.0,20,1.1102230246251565e-16,13.373765432098764,0.24888888888888897,13.124876543209876
0.0,21,-1.1102230246251565e-16,7.895733024691357,0.24888888888888897,7.646844135802469
0.0,23,-3.3306690738754696e-16,12.811612654320987,0.3475,12.464112654320987
0.0,22,1.4432899320127035e-15,8.173055555555557,0.28305555555555556,7.890000000000001
0.0,24,1.1102230246251565e-16,7.289687017746914,0.48999999999999994,6.799687017746914
0.0,25,-2.220446049250313e-16,5.975555555555555,0.43222222222222223,5.543333333333333
0.0,26,9.992007221626409e-16,6.048097511574074,0.45,5.598097511574074
0.0,27,5.551115123125783e-16,7.792592592592593,0.24888888888888897,7.543703703703704
0.0,28,-2.220446049250313e-16,13.617835165895062,0.44555555555555565,13.172279610339507
0.0,29,7.771561172376096e-16,8.742708333333335,0.24000000000000005,8.502708333333334
0.05,1,0.042211848848842756,8.137175925925927,0.5163888888888889,7.620787037037037
0.05,2,0.0678648069028836,9.653557098765432,0.2697222222222223,9.38383487654321
0.05,3,0.05904792074143278,4.412654320987655,0.4875,3.9251543209876547
0.05,0,0.058993870513639156,6.642274305555555,0.3497222222222222,6.292552083333333
0.05,4,0.04616395066214531,3.6172145061728394,0.2222222222222222,3.394992283950617
0.05,5,0.09825408198259697,13.33594714506173,0.5163888888888889,12.819558256172842
0.05,6,0.05293280107446614,4.157345196759258,0.41,3.7473451967592584
0.05,7,0.05095196476759317,3.7192515432098765,0.32888888888888884,3.3903626543209877
0.05,8,0.03951056640447432,15.474236111111114,0.41,15.064236111111114
0.05,9,0.045042383041719,7.239380787037037,0.44972222222222225,6.789658564814815
0.05,11,0.05337838954578942,11.615987654320987,0.11555555555555558,11.500432098765431
0.05,10,0.02552639051887693,8.191070601851852,0.34305555555555556,7.848015046296296
0.05,12,0.05220381026124686,5.856538888888888,0.8430555555555556,5.013483333333332
0.05,13,0.08475419364917311,7.2895061728395065,0.19555555555555557,7.093950617283951
0.05,14,0.06679241480309013,4.944494675925926,0.7566666666666666,4.187828009259259
0.05,15,0.047991900246889097,8.625376157407407,0.3475000000000001,8.277876157407407
0.05,16,0.07884931808685793,7.280402083333333,1.0608333333333333,6.21956875
0.05,17,0.07997652732940395,7.215272202932098,0.8888888888888888,6.32638331404321
0.05,18,0.05907935931826015,10.885918209876543,0.24000000000000002,10.645918209876543
0.05,19,0.06354192000804894,20.2922974537037,0.48999999999999994,19.8022974537037
0.05,20,0.05342355678517598,16.078661959876545,0.6666666666666666,15.411995293209877
0.05,21,0.05366932213466978,5.445270061728396,0.3030555555555556,5.14221450617284
0.05,22,0.0798032535812658,6.762464795524692,0.36972222222222223,6.39274257330247
0.05,23,0.07611762751986018,12.493089795524691,0.5363888888888888,11.956700906635803
0.05,24,0.037885102256507305,5.401127777777778,0.9030555555555556,4.4980722222222225
0.05,25,0.05698374464094434,4.051967592592592,0.24888888888888897,3.803078703703703
0.05,26,0.04186716015792746,6.603722511574074,0.45,6.153722511574074
0.05,27,0.06917980834264315,3.2060416666666667,0.24000000000000002,2.9660416666666665
0.05,28,0.04539264658531314,8.75733024691358,0.44555555555555565,8.311774691358025
0.05,29,0.05627255697581268,7.617361111111112,0.44555555555555565,7.171805555555556
0.1,1,0.11897759603365385,18.700113811728396,0.33888888888888885,18.361224922839508
0.1,0,0.0934261565176204,12.039930555555554,0.24888888888888897,11.791041666666665
0.1,2,0.10898117436942155,9.16195023148148,0.22749999999999998,8.934450231481481
0.1,3,0.09057711948558535,4.69309413580247,0.4875,4.20559413580247
0.1,4,0.09141279328024994,7.807683256172839,0.5155555555555557,7.292127700617284
0.1,5,0.13275124900429314,12.420300443672842,0.4875,11.932800443672841
0.1,6,0.09754206689533854,7.549509548611112,0.44972222222222225,7.099787326388889
0.1,7,0.12842867143557657,10.939020061728394,0.5655555555555556,10.373464506172839
0.1,9,0.10851129799919391,4.984141589506174,0.4,4.5841415895061735
0.1,8,0.1358740243353294,4.861936728395062,0.16555555555555557,4.696381172839506
0.1,10,0.07672003503220767,11.272707098765432,1.0608333333333333,10.211873765432099
0.1,11,0.12996524396264209,16.452399691358025,0.2222222222222222,16.230177469135803
